fecha,hora,origen,destino,tiempo_base_min,transbordo,distancia_manhattan,clima,nivel_congestion,incidente,demanda_estimada,es_hora_pico,tiempo_real_min
2026-03-01,13,Calle 100,Calle 72,4,0,1,despejado,1,0,154,0,5.01
2026-03-02,5,Américas,Banderas,4,0,1,despejado,3,0,138,0,8.55
2026-03-08,19,Américas,Banderas,4,0,1,despejado,2,0,210,1,9.18
2026-03-09,9,Calle 26,Américas,5,1,1,despejado,2,0,201,1,13.41
2026-03-28,16,Calle 26,Américas,5,1,1,despejado,3,0,193,0,13.49
2026-03-03,22,Américas,Banderas,4,0,1,despejado,2,0,134,0,7.69
2026-03-22,12,Portal Norte,Calle 100,5,0,1,lluvia,2,0,122,0,9.91
2026-03-21,16,Banderas,Portal Sur,6,0,2,despejado,3,0,169,0,11.68
2026-03-20,10,Calle 100,Calle 72,4,0,1,despejado,2,0,158,0,6.65
2026-03-22,15,Calle 26,Av Jiménez,3,0,1,lluvia,2,0,114,0,8.93
2026-03-09,7,Américas,Banderas,4,0,1,despejado,4,0,280,1,10.41
2026-03-13,19,Banderas,Portal Sur,6,0,2,despejado,4,0,308,1,13.33
2026-03-29,17,Américas,Banderas,4,0,1,despejado,2,0,255,1,8.68
2026-03-28,8,Portal Norte,Calle 100,5,0,1,despejado,4,0,294,1,12.33
2026-03-13,19,Américas,Banderas,4,0,1,despejado,2,0,204,1,9.14
2026-03-25,15,Av Jiménez,Portal Sur,7,1,1,despejado,2,0,110,0,15.29
2026-03-17,10,Av Jiménez,Portal Sur,7,1,1,despejado,3,0,173,0,16.22
2026-03-05,16,Calle 26,Av Jiménez,3,0,1,lluvia,4,0,160,0,10.84
2026-03-01,8,Banderas,Portal Sur,6,0,2,lluvia_fuerte,4,0,270,1,16.84
2026-03-03,20,Calle 100,Calle 72,4,0,1,lluvia,5,0,281,1,13.41
2026-03-18,10,Banderas,Portal Sur,6,0,2,despejado,2,0,137,0,11.03
2026-03-23,14,Calle 26,Av Jiménez,3,0,1,despejado,2,0,166,0,7.16
2026-03-04,12,Banderas,Portal Sur,6,0,2,despejado,3,0,205,0,10.55
2026-03-01,7,Calle 26,Av Jiménez,3,0,1,lluvia,3,1,219,1,17.76
2026-03-17,12,Calle 100,Calle 72,4,0,1,despejado,3,0,151,0,8.94
2026-03-08,20,Banderas,Portal Sur,6,0,2,lluvia,3,0,270,1,14.35
2026-03-15,6,Américas,Banderas,4,0,1,lluvia,3,0,222,1,11.67
2026-03-26,8,Calle 26,Américas,5,1,1,despejado,3,0,232,1,14.71
2026-03-15,12,Av Jiménez,Portal Sur,7,1,1,lluvia,4,0,172,0,17.52
2026-03-03,12,Portal Norte,Calle 100,5,0,1,despejado,1,0,136,0,7.97
2026-03-13,5,Calle 72,Calle 26,6,1,1,lluvia_fuerte,3,0,171,0,18.22
2026-03-05,11,Banderas,Portal Sur,6,0,2,despejado,3,0,204,0,10.15
2026-03-02,6,Calle 26,Américas,5,1,1,despejado,4,0,260,1,15.04
2026-03-28,10,Calle 100,Calle 72,4,0,1,despejado,1,0,136,0,5.09
