fecha,hora,origen,destino,distancia_manhattan,transbordo,clima,nivel_congestion,incidente,demanda_estimada,ocupacion_pct,es_hora_pico,tiempo_observado_min
2026-04-09,13,Portal Norte,Calle 100,1,0,despejado,1,0,161,37.57,0,8.16
2026-04-05,12,Calle 72,Calle 26,1,1,despejado,1,1,145,40.63,0,18.74
2026-04-03,15,Américas,Banderas,1,0,despejado,1,0,108,35.0,0,7.32
2026-04-30,13,Av Jiménez,Portal Sur,1,1,despejado,1,0,133,35.0,0,12.55
2026-04-01,16,Calle 26,Américas,1,1,despejado,2,0,171,47.49,0,12.29
2026-04-17,18,Banderas,Portal Sur,2,0,despejado,5,0,241,66.87,1,16.47
2026-04-11,13,Calle 72,Calle 26,1,1,lluvia,3,0,163,45.21,0,14.95
2026-04-27,6,Calle 100,Calle 72,1,0,lluvia,3,0,348,90.58,1,13.73
2026-04-16,16,Av Jiménez,Portal Sur,1,1,lluvia_fuerte,4,1,317,78.36,0,28.05
2026-04-01,11,Portal Norte,Calle 100,1,0,despejado,2,0,145,38.4,0,7.0
2026-04-17,10,Calle 100,Calle 72,1,0,despejado,1,0,138,35.0,0,6.68
2026-04-01,17,Américas,Banderas,1,0,lluvia_fuerte,4,0,265,64.88,1,14.97
2026-04-29,8,Calle 72,Calle 26,1,1,lluvia_fuerte,4,0,240,63.91,1,22.87
2026-04-25,17,Portal Norte,Calle 100,1,0,despejado,5,0,294,77.92,1,13.97
2026-04-18,21,Calle 72,Calle 26,1,1,lluvia,4,0,278,68.41,0,18.52
2026-04-22,13,Banderas,Portal Sur,2,0,lluvia,3,0,175,42.97,0,13.39
2026-04-06,8,Portal Norte,Calle 100,1,0,despejado,3,0,314,74.1,1,11.71
2026-04-09,16,Calle 100,Calle 72,1,0,lluvia,5,1,191,54.76,0,18.44
2026-04-17,10,Calle 26,Av Jiménez,1,0,despejado,3,0,166,38.57,0,7.42
2026-04-30,21,Calle 72,Calle 26,1,1,lluvia,5,0,281,74.68,0,18.47
2026-04-11,11,Banderas,Portal Sur,2,0,despejado,1,0,90,35.0,0,9.67
2026-04-11,7,Banderas,Portal Sur,2,0,lluvia,4,0,312,85.32,1,17.67
2026-04-12,13,Calle 26,Américas,1,1,despejado,1,0,113,35.0,0,11.52
